histosketches-k11-m1-c10-s256/Airways.18.sketch,histosketches-k11-m1-c10-s256/Oral.14.sketch,histosketches-k11-m1-c10-s256/Oral.18.sketch,histosketches-k11-m1-c10-s256/Oral.19.sketch,histosketches-k11-m1-c10-s256/Skin.17.sketch,histosketches-k11-m1-c10-s256/Urogenital_tract.12.sketch,histosketches-k11-m1-c10-s256/Airways.14.sketch,histosketches-k11-m1-c10-s256/Airways.15.sketch,histosketches-k11-m1-c10-s256/Urogenital_tract.18.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.15.sketch,histosketches-k11-m1-c10-s256/Oral.17.sketch,histosketches-k11-m1-c10-s256/Airways.11.sketch,histosketches-k11-m1-c10-s256/Airways.13.sketch,histosketches-k11-m1-c10-s256/Skin.18.sketch,histosketches-k11-m1-c10-s256/Urogenital_tract.13.sketch,histosketches-k11-m1-c10-s256/Oral.15.sketch,histosketches-k11-m1-c10-s256/Skin.13.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.11.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.12.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.13.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.17.sketch,histosketches-k11-m1-c10-s256/Oral.11.sketch,histosketches-k11-m1-c10-s256/Skin.15.sketch,histosketches-k11-m1-c10-s256/Airways.12.sketch,histosketches-k11-m1-c10-s256/Airways.17.sketch,histosketches-k11-m1-c10-s256/Urogenital_tract.17.sketch,histosketches-k11-m1-c10-s256/Skin.19.sketch,histosketches-k11-m1-c10-s256/Urogenital_tract.14.sketch,histosketches-k11-m1-c10-s256/Oral.13.sketch,histosketches-k11-m1-c10-s256/Oral.20.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.18.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.20.sketch,histosketches-k11-m1-c10-s256/Skin.20.sketch,histosketches-k11-m1-c10-s256/Skin.14.sketch,histosketches-k11-m1-c10-s256/Skin.16.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.14.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.16.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.19.sketch,histosketches-k11-m1-c10-s256/Oral.12.sketch,histosketches-k11-m1-c10-s256/Skin.11.sketch,histosketches-k11-m1-c10-s256/Urogenital_tract.15.sketch,histosketches-k11-m1-c10-s256/Airways.16.sketch,histosketches-k11-m1-c10-s256/Airways.20.sketch,histosketches-k11-m1-c10-s256/Urogenital_tract.16.sketch,histosketches-k11-m1-c10-s256/Skin.12.sketch,histosketches-k11-m1-c10-s256/Urogenital_tract.11.sketch,histosketches-k11-m1-c10-s256/Airways.19.sketch,histosketches-k11-m1-c10-s256/Oral.16.sketch
100.00,32.84,44.50,35.39,47.77,10.86,45.94,45.82,38.09,41.18,43.53,47.59,46.48,50.76,40.62,44.48,41.00,26.86,28.24,39.55,26.86,35.97,33.32,50.20,67.10,34.63,62.12,39.00,33.83,35.60,33.38,34.61,50.04,44.88,45.16,40.39,25.83,26.33,42.36,47.87,34.70,48.90,58.54,33.04,40.20,41.44,48.11,44.72
32.84,100.00,38.89,35.55,32.78,19.37,32.66,37.42,33.40,37.37,50.19,38.33,27.97,50.63,36.71,35.98,23.85,35.34,36.20,40.53,37.55,41.16,15.96,40.04,34.41,35.63,34.28,26.13,39.78,34.49,37.82,30.61,32.40,22.30,23.62,28.12,35.02,34.95,44.88,30.35,38.94,38.77,34.71,29.12,33.81,31.51,39.26,44.22
44.50,38.89,100.00,61.76,34.80,9.14,43.15,36.77,38.48,43.43,60.99,38.94,27.60,46.05,40.47,59.54,35.44,23.99,26.67,36.18,26.30,53.94,26.85,42.42,41.74,31.77,43.08,41.16,45.92,58.86,30.93,38.46,38.25,33.53,38.70,41.47,23.89,25.55,65.29,37.39,28.53,38.67,36.50,32.49,38.68,44.80,35.04,55.33
35.39,35.55,61.76,100.00,29.57,10.31,34.72,29.78,27.74,34.48,58.67,30.23,22.81,38.32,32.85,58.02,35.65,20.12,20.81,30.45,23.29,51.15,26.21,32.15,33.89,27.55,36.26,32.72,33.47,65.30,25.27,32.61,37.45,31.89,38.17,35.20,20.31,19.34,57.89,33.96,24.41,31.29,30.01,28.14,28.17,38.91,28.54,49.83
47.77,32.78,34.80,29.57,100.00,16.36,42.60,39.73,36.56,40.60,37.55,38.74,30.85,44.41,39.91,35.93,41.10,34.41,35.67,43.20,33.49,31.88,35.04,42.51,44.86,33.58,54.32,31.16,30.83,29.15,36.39,35.30,53.86,44.13,43.54,37.76,36.75,33.86,33.58,61.19,31.36,48.67,39.94,27.29,44.41,34.65,47.31,37.35
10.86,19.37,9.14,10.31,16.36,100.00,11.90,17.75,12.69,11.36,12.98,17.72,13.60,11.92,10.99,7.19,5.68,26.35,27.47,16.32,28.90,10.88,5.05,17.16,10.19,22.37,12.61,7.91,12.39,7.85,18.02,10.71,9.51,6.92,7.37,8.72,23.18,25.46,9.94,10.83,28.34,16.91,13.22,11.73,13.01,7.65,19.51,10.45
45.94,32.66,43.15,34.72,42.60,11.90,100.00,49.53,35.98,41.70,39.87,49.48,35.99,43.06,35.20,40.66,35.01,28.81,28.32,39.49,28.53,32.03,30.08,46.36,45.66,33.59,50.32,34.44,36.10,32.58,35.66,32.29,40.15,38.17,40.51,35.97,26.70,28.86,39.00,42.60,33.16,45.21,44.84,29.45,40.61,37.55,43.56,39.72
45.82,37.42,36.77,29.78,39.73,17.75,49.53,100.00,39.08,40.04,36.70,69.31,49.07,44.70,39.84,30.31,23.98,35.89,36.86,40.38,36.69,27.24,18.64,55.74,52.82,44.95,44.31,36.62,35.78,26.28,42.72,25.78,34.75,26.90,27.69,31.10,29.19,38.87,36.51,33.59,46.70,54.36,57.33,34.07,42.45,38.44,57.09,35.96
38.09,33.40,38.48,27.74,36.56,12.69,35.98,39.08,100.00,42.30,34.82,39.64,28.81,42.71,34.89,33.36,25.83,32.61,33.99,42.49,33.27,31.37,20.83,41.53,41.00,31.74,38.39,31.56,32.55,29.58,39.92,34.67,32.71,25.79,29.60,38.02,32.11,35.37,35.89,32.00,31.09,45.29,37.29,27.99,37.25,36.10,41.38,38.74
41.18,37.37,43.43,34.48,40.60,11.36,41.70,40.04,42.30,100.00,41.44,39.32,30.26,45.36,42.05,36.25,32.64,32.39,37.24,54.46,34.41,41.06,24.35,38.40,45.54,32.32,45.52,37.53,38.51,34.15,50.83,50.72,40.68,30.68,34.43,56.24,34.56,35.30,40.80,37.15,32.19,42.50,38.20,29.50,37.41,42.40,38.94,48.63
