Airways.19.sketch,Urogenital_tract.18.sketch,Urogenital_tract.17.sketch,Airways.12.sketch,Gastrointestinal_tract.14.sketch,Gastrointestinal_tract.15.sketch,Oral.14.sketch,Skin.13.sketch,Gastrointestinal_tract.16.sketch,Oral.12.sketch,Oral.13.sketch,Airways.14.sketch,Airways.15.sketch,Airways.16.sketch,Airways.17.sketch,Gastrointestinal_tract.13.sketch,Skin.12.sketch,Skin.15.sketch,Skin.17.sketch,Urogenital_tract.13.sketch,Skin.14.sketch,Airways.20.sketch,Gastrointestinal_tract.11.sketch,Gastrointestinal_tract.19.sketch,Oral.16.sketch,Oral.17.sketch,Urogenital_tract.16.sketch,Gastrointestinal_tract.12.sketch,Oral.18.sketch,Urogenital_tract.11.sketch,Urogenital_tract.12.sketch,Urogenital_tract.15.sketch,Oral.11.sketch,Oral.15.sketch,Oral.20.sketch,Skin.16.sketch,Skin.19.sketch,Airways.13.sketch,Oral.19.sketch,Skin.11.sketch,Skin.18.sketch,Skin.20.sketch,Airways.11.sketch,Airways.18.sketch,Gastrointestinal_tract.17.sketch,Gastrointestinal_tract.18.sketch,Gastrointestinal_tract.20.sketch,Urogenital_tract.14.sketch
1.00,0.83,0.87,0.92,0.89,0.89,0.86,0.89,0.87,0.85,0.83,0.89,0.91,0.91,0.92,0.87,0.86,0.85,0.89,0.84,0.87,0.91,0.85,0.87,0.87,0.86,0.82,0.85,0.84,0.87,0.89,0.86,0.85,0.88,0.86,0.89,0.92,0.87,0.85,0.89,0.91,0.90,0.92,0.92,0.86,0.88,0.88,0.87
0.83,1.00,0.85,0.85,0.87,0.86,0.83,0.79,0.83,0.81,0.80,0.82,0.85,0.85,0.84,0.86,0.78,0.78,0.83,0.82,0.79,0.84,0.82,0.84,0.85,0.82,0.81,0.83,0.81,0.85,0.87,0.86,0.81,0.83,0.81,0.79,0.83,0.80,0.79,0.82,0.84,0.81,0.85,0.83,0.83,0.85,0.86,0.83
0.87,0.85,1.00,0.88,0.90,0.89,0.87,0.84,0.86,0.84,0.81,0.87,0.87,0.89,0.87,0.88,0.83,0.82,0.86,0.86,0.82,0.86,0.86,0.86,0.88,0.85,0.84,0.86,0.85,0.88,0.90,0.92,0.86,0.88,0.86,0.83,0.87,0.83,0.84,0.86,0.89,0.87,0.88,0.86,0.87,0.88,0.89,0.93
0.92,0.85,0.88,1.00,0.90,0.90,0.87,0.88,0.86,0.84,0.81,0.89,0.91,0.93,0.92,0.88,0.82,0.85,0.88,0.86,0.86,0.93,0.86,0.87,0.89,0.86,0.84,0.87,0.84,0.87,0.90,0.88,0.86,0.89,0.86,0.87,0.92,0.87,0.85,0.89,0.92,0.89,0.91,0.92,0.88,0.90,0.91,0.88
0.89,0.87,0.90,0.90,1.00,0.92,0.90,0.86,0.88,0.85,0.83,0.89,0.91,0.91,0.89,0.91,0.82,0.83,0.87,0.85,0.82,0.89,0.89,0.90,0.89,0.87,0.84,0.87,0.86,0.85,0.90,0.88,0.88,0.90,0.88,0.86,0.89,0.85,0.87,0.88,0.91,0.88,0.91,0.88,0.89,0.90,0.90,0.87
0.89,0.86,0.89,0.90,0.92,1.00,0.90,0.85,0.87,0.86,0.84,0.88,0.92,0.91,0.89,0.92,0.84,0.82,0.87,0.85,0.83,0.89,0.87,0.90,0.89,0.88,0.83,0.88,0.85,0.86,0.90,0.89,0.87,0.89,0.88,0.85,0.88,0.85,0.87,0.88,0.90,0.88,0.91,0.89,0.89,0.91,0.94,0.87
0.86,0.83,0.87,0.87,0.90,0.90,1.00,0.83,0.86,0.90,0.84,0.85,0.87,0.88,0.86,0.88,0.82,0.82,0.86,0.84,0.81,0.86,0.86,0.89,0.90,0.91,0.84,0.85,0.88,0.82,0.87,0.88,0.89,0.90,0.89,0.84,0.87,0.82,0.89,0.85,0.89,0.87,0.88,0.86,0.87,0.87,0.89,0.86
0.89,0.79,0.84,0.88,0.86,0.85,0.83,1.00,0.81,0.83,0.80,0.90,0.86,0.88,0.89,0.83,0.84,0.93,0.90,0.80,0.92,0.88,0.82,0.82,0.85,0.83,0.81,0.81,0.82,0.82,0.84,0.83,0.83,0.85,0.82,0.94,0.91,0.83,0.82,0.92,0.88,0.92,0.88,0.90,0.83,0.84,0.85,0.83
0.87,0.83,0.86,0.86,0.88,0.87,0.86,0.81,1.00,0.83,0.80,0.83,0.86,0.88,0.84,0.90,0.80,0.78,0.83,0.81,0.79,0.83,0.93,0.91,0.86,0.84,0.80,0.92,0.82,0.83,0.86,0.85,0.84,0.86,0.84,0.82,0.84,0.80,0.83,0.84,0.86,0.84,0.86,0.83,0.92,0.87,0.88,0.86
0.85,0.81,0.84,0.84,0.85,0.86,0.90,0.83,0.83,1.00,0.87,0.82,0.86,0.86,0.84,0.86,0.84,0.80,0.84,0.81,0.80,0.83,0.84,0.87,0.87,0.92,0.82,0.83,0.90,0.82,0.84,0.85,0.90,0.88,0.87,0.84,0.84,0.81,0.89,0.83,0.86,0.85,0.87,0.84,0.84,0.85,0.85,0.82
