../DATA/Airways/11.fastq.gz,../DATA/Airways/12.fastq.gz,../DATA/Airways/13.fastq.gz,../DATA/Airways/14.fastq.gz,../DATA/Airways/15.fastq.gz,../DATA/Airways/16.fastq.gz,../DATA/Airways/17.fastq.gz,../DATA/Airways/18.fastq.gz,../DATA/Airways/19.fastq.gz,../DATA/Airways/20.fastq.gz,../DATA/Gastrointestinal_tract/11.fastq.gz,../DATA/Gastrointestinal_tract/12.fastq.gz,../DATA/Gastrointestinal_tract/13.fastq.gz,../DATA/Gastrointestinal_tract/14.fastq.gz,../DATA/Gastrointestinal_tract/15.fastq.gz,../DATA/Gastrointestinal_tract/16.fastq.gz,../DATA/Gastrointestinal_tract/17.fastq.gz,../DATA/Gastrointestinal_tract/18.fastq.gz,../DATA/Gastrointestinal_tract/19.fastq.gz,../DATA/Gastrointestinal_tract/20.fastq.gz,../DATA/Oral/11.fastq.gz,../DATA/Oral/12.fastq.gz,../DATA/Oral/13.fastq.gz,../DATA/Oral/14.fastq.gz,../DATA/Oral/15.fastq.gz,../DATA/Oral/16.fastq.gz,../DATA/Oral/17.fastq.gz,../DATA/Oral/18.fastq.gz,../DATA/Oral/19.fastq.gz,../DATA/Oral/20.fastq.gz,../DATA/Skin/11.fastq.gz,../DATA/Skin/12.fastq.gz,../DATA/Skin/13.fastq.gz,../DATA/Skin/14.fastq.gz,../DATA/Skin/15.fastq.gz,../DATA/Skin/16.fastq.gz,../DATA/Skin/17.fastq.gz,../DATA/Skin/18.fastq.gz,../DATA/Skin/19.fastq.gz,../DATA/Skin/20.fastq.gz,../DATA/Urogenital_tract/11.fastq.gz,../DATA/Urogenital_tract/12.fastq.gz,../DATA/Urogenital_tract/13.fastq.gz,../DATA/Urogenital_tract/14.fastq.gz,../DATA/Urogenital_tract/15.fastq.gz,../DATA/Urogenital_tract/16.fastq.gz,../DATA/Urogenital_tract/17.fastq.gz,../DATA/Urogenital_tract/18.fastq.gz
1.0,0.07421875,0.09765625,0.080078125,0.142578125,0.064453125,0.10546875,0.109375,0.08984375,0.11328125,0.0,0.00390625,0.0,0.001953125,0.015625,0.001953125,0.0,0.0,0.00390625,0.0,0.00390625,0.015625,0.01953125,0.009765625,0.005859375,0.0078125,0.01171875,0.0078125,0.005859375,0.00390625,0.056640625,0.09765625,0.05078125,0.09375,0.064453125,0.05078125,0.0625,0.04296875,0.10546875,0.05078125,0.005859375,0.005859375,0.0078125,0.0,0.0078125,0.005859375,0.001953125,0.00390625
0.07421875,1.0,0.1015625,0.052734375,0.08203125,0.06640625,0.087890625,0.09375,0.1171875,0.10546875,0.0,0.00390625,0.0,0.0,0.00390625,0.0,0.001953125,0.0,0.0,0.0,0.009765625,0.0,0.001953125,0.0,0.001953125,0.001953125,0.00390625,0.001953125,0.001953125,0.0,0.056640625,0.06640625,0.060546875,0.078125,0.0625,0.05859375,0.0625,0.03515625,0.083984375,0.0546875,0.00390625,0.001953125,0.00390625,0.0,0.00390625,0.001953125,0.001953125,0.0
0.09765625,0.1015625,1.0,0.056640625,0.09375,0.06640625,0.111328125,0.12109375,0.109375,0.14453125,0.0,0.00390625,0.0,0.001953125,0.005859375,0.005859375,0.0,0.001953125,0.0,0.0,0.00390625,0.001953125,0.00390625,0.00390625,0.005859375,0.001953125,0.005859375,0.00390625,0.005859375,0.005859375,0.068359375,0.072265625,0.060546875,0.10546875,0.064453125,0.052734375,0.056640625,0.0390625,0.091796875,0.05859375,0.00390625,0.001953125,0.0,0.0,0.00390625,0.0,0.0,0.001953125
0.080078125,0.052734375,0.056640625,1.0,0.091796875,0.046875,0.068359375,0.09375,0.07421875,0.072265625,0.001953125,0.005859375,0.00390625,0.001953125,0.017578125,0.001953125,0.0,0.001953125,0.001953125,0.0,0.0,0.001953125,0.0,0.0,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.0,0.095703125,0.091796875,0.099609375,0.10546875,0.103515625,0.10546875,0.09765625,0.0546875,0.0859375,0.08203125,0.009765625,0.001953125,0.005859375,0.00390625,0.0,0.00390625,0.001953125,0.0
0.142578125,0.08203125,0.09375,0.091796875,1.0,0.072265625,0.103515625,0.123046875,0.103515625,0.111328125,0.0,0.001953125,0.0,0.005859375,0.009765625,0.001953125,0.0,0.005859375,0.0,0.001953125,0.009765625,0.017578125,0.0234375,0.015625,0.005859375,0.005859375,0.013671875,0.01953125,0.005859375,0.005859375,0.080078125,0.1171875,0.072265625,0.099609375,0.078125,0.0703125,0.072265625,0.046875,0.09375,0.0625,0.005859375,0.001953125,0.009765625,0.0,0.001953125,0.001953125,0.0,0.0
0.064453125,0.06640625,0.06640625,0.046875,0.072265625,1.0,0.0703125,0.09375,0.083984375,0.072265625,0.009765625,0.01171875,0.0078125,0.009765625,0.015625,0.01171875,0.01171875,0.0078125,0.005859375,0.01171875,0.015625,0.00390625,0.00390625,0.01171875,0.013671875,0.001953125,0.009765625,0.0078125,0.01171875,0.009765625,0.056640625,0.072265625,0.0546875,0.076171875,0.0625,0.052734375,0.05859375,0.048828125,0.0859375,0.056640625,0.00390625,0.0,0.00390625,0.001953125,0.0,0.001953125,0.0,0.001953125
0.10546875,0.087890625,0.111328125,0.068359375,0.103515625,0.0703125,1.0,0.142578125,0.09765625,0.130859375,0.001953125,0.001953125,0.0,0.001953125,0.01171875,0.00390625,0.0078125,0.00390625,0.001953125,0.001953125,0.021484375,0.0234375,0.01953125,0.02734375,0.029296875,0.025390625,0.03125,0.025390625,0.033203125,0.02734375,0.08984375,0.1015625,0.09765625,0.119140625,0.09765625,0.0859375,0.080078125,0.0703125,0.126953125,0.078125,0.0078125,0.001953125,0.0078125,0.001953125,0.001953125,0.005859375,0.001953125,0.005859375
0.109375,0.09375,0.12109375,0.09375,0.123046875,0.09375,0.142578125,1.0,0.1171875,0.1328125,0.001953125,0.001953125,0.0078125,0.005859375,0.009765625,0.005859375,0.005859375,0.0078125,0.001953125,0.001953125,0.017578125,0.005859375,0.0078125,0.01171875,0.017578125,0.00390625,0.009765625,0.009765625,0.009765625,0.0078125,0.111328125,0.115234375,0.107421875,0.138671875,0.111328125,0.109375,0.1015625,0.08203125,0.138671875,0.095703125,0.005859375,0.005859375,0.0078125,0.0,0.00390625,0.001953125,0.001953125,0.001953125
0.08984375,0.1171875,0.109375,0.07421875,0.103515625,0.083984375,0.09765625,0.1171875,1.0,0.119140625,0.0,0.001953125,0.001953125,0.001953125,0.005859375,0.0,0.0,0.00390625,0.0,0.0,0.0,0.005859375,0.01171875,0.00390625,0.0078125,0.00390625,0.005859375,0.005859375,0.00390625,0.005859375,0.09765625,0.1171875,0.091796875,0.119140625,0.09765625,0.087890625,0.091796875,0.060546875,0.109375,0.087890625,0.00390625,0.001953125,0.009765625,0.0,0.001953125,0.001953125,0.0,0.001953125
0.11328125,0.10546875,0.14453125,0.072265625,0.111328125,0.072265625,0.130859375,0.1328125,0.119140625,1.0,0.00390625,0.005859375,0.001953125,0.0,0.00390625,0.00390625,0.001953125,0.005859375,0.001953125,0.00390625,0.009765625,0.00390625,0.009765625,0.009765625,0.013671875,0.009765625,0.017578125,0.005859375,0.013671875,0.005859375,0.08203125,0.09375,0.078125,0.12109375,0.09375,0.07421875,0.0859375,0.05078125,0.125,0.06640625,0.00390625,0.0078125,0.0078125,0.0,0.0078125,0.005859375,0.001953125,0.00390625
