Baseline/SAMN06172444.sketch,Baseline/SAMN06172497.sketch,HPLC/SAMN06172421.sketch,HPLC/SAMN06172516.sketch,Baseline/SAMN06172402.sketch,Baseline/SAMN06172442.sketch,Baseline/SAMN06172459.sketch,HPLC/SAMN06172409.sketch,HPLC/SAMN06172419.sketch,HPLC/SAMN06172454.sketch,HPLC/SAMN06172458.sketch,LPHC/SAMN06172447.sketch,Baseline/SAMN06172436.sketch,Baseline/SAMN06172450.sketch,LPHC/SAMN06172508.sketch,Baseline/SAMN06172463.sketch,HPLC/SAMN06172413.sketch,LPHC/SAMN06172512.sketch,LPHC/SAMN06172401.sketch,Baseline/SAMN06172400.sketch,Baseline/SAMN06172408.sketch,Baseline/SAMN06172438.sketch,Baseline/SAMN06172440.sketch,Baseline/SAMN06172457.sketch,Baseline/SAMN06172465.sketch,HPLC/SAMN06172435.sketch,LPHC/SAMN06172433.sketch,Baseline/SAMN06172420.sketch,Baseline/SAMN06172485.sketch,Baseline/SAMN06172507.sketch,Baseline/SAMN06172517.sketch,HPLC/SAMN06172498.sketch,LPHC/SAMN06172429.sketch,Baseline/SAMN06172412.sketch,Baseline/SAMN06172422.sketch,Baseline/SAMN06172493.sketch,Baseline/SAMN06172521.sketch,Baseline/SAMN06172446.sketch,HPLC/SAMN06172449.sketch,HPLC/SAMN06172466.sketch,LPHC/SAMN06172427.sketch,LPHC/SAMN06172488.sketch,Baseline/SAMN06172481.sketch,HPLC/SAMN06172504.sketch,Baseline/SAMN06172473.sketch,Baseline/SAMN06172477.sketch,Baseline/SAMN06172509.sketch,HPLC/SAMN06172482.sketch,LPHC/SAMN06172518.sketch,Baseline/SAMN06172513.sketch,LPHC/SAMN06172460.sketch,LPHC/SAMN06172506.sketch,Baseline/SAMEA103957794.sketch,Baseline/SAMN06172434.sketch,Baseline/SAMN06172471.sketch,Baseline/SAMN06172475.sketch,HPLC/SAMEA103957796.sketch,HPLC/SAMN06172403.sketch,HPLC/SAMN06172441.sketch,Baseline/SAMN06172452.sketch,LPHC/SAMN06172425.sketch,LPHC/SAMN06172451.sketch,LPHC/SAMN06172490.sketch,Baseline/SAMN06172479.sketch,Baseline/SAMN06172511.sketch,LPHC/SAMN06172415.sketch,Baseline/SAMEA103957795.sketch,Baseline/SAMN06172432.sketch,Baseline/SAMN06172499.sketch,Baseline/SAMN06172515.sketch,HPLC/SAMEA103957793.sketch,HPLC/SAMN06172510.sketch,LPHC/SAMN06172472.sketch,Baseline/SAMN06172406.sketch,Baseline/SAMN06172448.sketch,Baseline/SAMN06172467.sketch,LPHC/SAMN06172445.sketch,Baseline/SAMN06172501.sketch,HPLC/SAMN06172468.sketch,HPLC/SAMN06172470.sketch,Baseline/SAMN06172414.sketch,HPLC/SAMN06172405.sketch,HPLC/SAMN06172431.sketch,LPHC/SAMN06172522.sketch,Baseline/SAMN06172416.sketch,HPLC/SAMN06172443.sketch,HPLC/SAMN06172486.sketch,HPLC/SAMN06172502.sketch,LPHC/SAMN06172456.sketch,LPHC/SAMN06172474.sketch,LPHC/SAMN06172524.sketch,Baseline/SAMN06172519.sketch,LPHC/SAMN06172407.sketch,LPHC/SAMN06172439.sketch,LPHC/SAMN06172520.sketch,Baseline/SAMN06172426.sketch,HPLC/SAMN06172437.sketch,Baseline/SAMN06172418.sketch,Baseline/SAMN06172469.sketch,Baseline/SAMN06172495.sketch,HPLC/SAMN06172480.sketch,LPHC/SAMN06172464.sketch,LPHC/SAMN06172494.sketch,Baseline/SAMN06172430.sketch,Baseline/SAMN06172483.sketch,Baseline/SAMN06172410.sketch,HPLC/SAMN06172476.sketch,HPLC/SAMN06172492.sketch,HPLC/SAMN06172514.sketch,LPHC/SAMN06172478.sketch,Baseline/SAMN06172424.sketch,Baseline/SAMN06172455.sketch,Baseline/SAMN06172487.sketch,Baseline/SAMN06172491.sketch,HPLC/SAMN06172423.sketch,HPLC/SAMN06172484.sketch,HPLC/SAMN06172496.sketch,LPHC/SAMN06172462.sketch,Baseline/SAMN06172428.sketch,Baseline/SAMN06172461.sketch,Baseline/SAMN06172489.sketch,Baseline/SAMN06172505.sketch,Baseline/SAMN06172404.sketch,Baseline/SAMN06172503.sketch,Baseline/SAMN06172523.sketch,LPHC/SAMN06172417.sketch,LPHC/SAMN06172453.sketch,LPHC/SAMN06172500.sketch
100.00,44.73,40.43,36.91,45.51,43.55,44.14,38.28,40.04,39.84,36.33,41.21,41.80,41.80,39.45,45.31,37.89,38.09,38.09,42.97,39.45,44.14,42.38,43.95,41.99,39.45,39.84,39.65,42.97,42.19,42.38,41.02,42.97,39.65,41.99,40.43,45.12,45.70,39.84,37.89,39.84,34.57,40.62,38.87,40.62,41.60,41.21,38.09,40.04,46.68,40.04,40.43,43.36,40.04,38.48,45.51,35.74,39.45,42.19,39.06,37.11,41.80,36.72,42.38,43.16,40.62,44.53,39.65,46.09,46.68,38.28,41.21,43.55,37.89,44.53,44.53,40.04,44.92,36.91,39.06,42.77,43.16,39.06,40.43,43.36,38.87,41.21,37.70,38.48,41.99,37.11,39.84,38.09,41.60,40.04,41.60,41.80,44.53,43.75,43.16,40.82,39.84,41.41,39.26,41.41,42.58,40.62,38.09,38.28,36.91,44.53,47.27,43.55,47.46,38.48,37.30,39.84,40.62,42.58,43.16,41.41,41.99,45.31,40.62,41.80,35.94,37.50,44.53
44.73,100.00,39.45,38.09,38.48,41.60,40.62,36.72,39.84,37.50,38.09,36.13,40.04,43.75,38.67,41.99,40.43,36.13,37.30,39.45,39.45,40.23,40.23,41.02,41.99,37.89,36.72,40.82,40.43,40.43,41.60,38.09,39.26,42.77,37.89,39.65,39.26,41.41,36.91,33.79,40.23,37.89,41.80,40.04,43.16,44.34,40.43,35.55,38.09,42.97,37.50,38.09,41.41,42.77,40.04,43.16,39.26,39.06,41.02,39.84,39.84,39.26,39.84,41.02,42.77,38.09,42.19,41.41,42.77,43.36,41.02,42.77,38.28,37.70,42.97,41.99,40.62,42.97,34.38,40.43,44.14,42.19,37.11,36.72,43.95,36.52,41.99,40.62,36.52,38.87,38.48,43.16,39.26,40.23,37.70,40.04,36.33,41.41,41.21,42.19,39.84,38.28,38.87,40.43,39.45,42.77,39.65,38.48,37.30,38.28,45.12,44.34,41.80,43.95,34.57,39.45,39.84,38.09,38.48,42.38,40.04,40.23,41.21,40.43,38.48,37.11,33.98,40.43
40.43,39.45,100.00,40.23,37.50,42.19,38.48,36.72,36.33,36.33,31.45,35.35,38.87,38.09,38.09,40.04,35.94,35.74,37.30,36.72,38.09,36.33,38.67,39.84,39.84,36.72,37.70,38.48,41.99,39.45,38.87,34.96,37.89,37.70,35.74,39.26,38.28,39.45,37.70,36.33,38.28,35.16,36.52,35.16,39.06,38.87,36.33,37.89,34.38,40.43,37.50,38.48,43.16,38.87,36.33,38.28,36.52,35.55,39.65,36.13,36.72,35.55,33.59,36.72,39.06,35.16,43.36,37.30,40.43,38.09,41.80,37.50,39.45,34.77,41.41,39.84,36.13,38.67,33.79,35.74,40.04,38.87,37.70,36.72,40.82,33.59,40.62,40.04,36.72,39.45,35.55,39.26,35.16,36.13,34.77,40.04,35.94,40.04,41.99,37.89,39.45,37.11,36.52,36.91,37.70,40.04,36.91,35.35,37.50,36.72,43.36,41.99,37.70,37.11,36.13,32.62,39.65,33.98,39.06,38.87,37.11,39.45,39.45,39.65,39.06,33.20,34.57,38.48
36.91,38.09,40.23,100.00,39.06,42.19,36.52,33.98,36.13,38.87,31.84,34.38,39.84,33.59,36.91,35.94,33.20,33.20,35.74,37.70,35.74,37.11,38.87,38.87,36.91,33.59,36.52,36.72,40.23,36.13,34.57,34.77,38.09,35.74,36.13,37.89,37.11,35.16,38.09,35.55,37.50,34.96,36.13,33.40,37.50,39.45,35.35,34.38,33.79,39.06,36.52,36.52,36.13,37.89,38.09,40.23,31.05,35.74,38.28,36.72,33.20,35.94,33.01,37.70,39.06,34.38,39.26,35.16,36.13,35.74,37.30,37.70,35.16,37.89,35.74,36.33,33.79,43.16,34.57,34.18,36.91,34.57,33.40,33.20,38.48,36.52,35.55,36.72,37.89,36.33,37.89,35.35,32.81,36.52,35.35,36.13,35.74,39.65,37.50,36.33,33.59,38.09,33.40,34.96,33.79,38.09,35.55,35.35,37.89,34.96,40.82,37.11,37.70,34.96,32.23,34.18,38.09,35.94,36.52,39.65,32.03,37.50,37.89,36.72,39.65,35.16,32.81,37.70
45.51,38.48,37.50,39.06,100.00,43.36,38.87,38.87,38.48,40.23,38.67,38.67,42.58,41.02,38.67,39.65,34.57,37.50,39.45,40.43,40.23,41.41,42.97,47.85,42.38,37.50,42.38,40.04,42.19,42.58,40.82,36.13,41.02,43.36,39.65,39.26,38.67,41.99,38.67,39.26,42.58,39.65,41.21,38.87,40.82,40.43,44.73,37.50,39.45,45.51,33.98,38.09,43.55,41.41,40.43,40.23,38.09,36.91,39.06,35.35,39.84,39.84,39.06,43.36,43.55,39.26,41.60,41.02,41.99,43.16,41.41,42.77,38.87,36.33,43.36,38.48,36.72,43.36,35.74,40.04,39.26,39.06,35.74,41.99,43.55,36.52,39.06,35.74,34.38,40.43,36.72,41.21,39.84,41.41,35.94,37.11,40.43,41.21,43.36,41.99,39.06,40.04,37.70,43.95,43.36,43.55,40.23,38.67,39.06,40.04,42.97,43.36,42.38,41.80,34.18,37.89,40.43,40.82,45.31,42.58,40.23,42.19,42.58,40.62,43.16,38.09,38.67,41.02
43.55,41.60,42.19,42.19,43.36,100.00,40.62,38.87,39.26,39.26,38.28,38.87,43.55,41.02,37.70,41.99,40.04,38.67,39.65,41.80,36.91,37.50,43.75,41.99,41.21,38.28,39.45,42.19,39.45,41.99,39.84,39.06,41.21,42.38,42.58,41.80,41.41,41.80,38.09,42.19,45.12,34.38,41.21,37.50,46.68,39.65,41.80,38.87,39.06,42.38,38.87,40.04,46.09,42.58,43.16,43.36,37.89,38.09,40.82,39.45,35.55,39.26,37.30,39.84,40.82,37.11,41.02,40.62,40.62,43.75,40.43,43.36,41.60,38.28,42.38,39.06,38.09,43.36,39.06,37.70,43.55,37.70,34.38,42.19,45.51,35.94,37.30,43.95,33.98,38.48,35.94,38.28,36.13,39.06,37.70,39.26,37.89,46.29,44.14,40.82,38.87,35.94,37.89,42.97,38.09,42.38,40.82,40.04,37.11,33.79,46.29,45.12,39.65,40.23,34.96,37.70,40.04,40.04,41.41,37.89,38.09,39.26,41.41,36.72,41.80,35.55,35.55,35.94
44.14,40.62,38.48,36.52,38.87,40.62,100.00,35.74,39.06,38.48,38.09,36.13,39.45,42.97,35.94,40.82,38.28,32.62,38.67,39.84,37.50,40.04,42.19,42.77,42.19,37.11,40.82,40.43,39.45,41.99,41.02,37.11,40.82,37.70,39.45,39.65,38.48,38.67,38.09,36.72,39.84,39.26,39.45,34.57,43.55,40.04,39.26,35.94,35.94,40.82,39.06,37.11,42.19,40.43,43.16,44.92,38.09,39.65,41.80,38.67,34.77,39.06,38.67,39.06,43.36,38.87,43.36,42.38,41.02,41.99,41.41,38.28,40.82,39.45,37.11,40.62,41.60,40.04,33.01,36.52,40.43,38.87,36.72,38.09,42.77,36.72,41.02,39.65,41.02,42.38,36.13,40.43,37.50,37.50,36.91,40.04,40.82,44.53,39.06,41.80,40.62,40.62,41.21,38.48,40.82,39.45,35.74,37.70,38.67,36.52,42.19,41.21,44.14,39.45,34.77,39.26,36.91,37.89,43.75,41.80,40.43,39.26,42.19,39.65,42.97,35.35,36.33,37.89
38.28,36.72,36.72,33.98,38.87,38.87,35.74,100.00,36.72,35.35,35.55,33.20,35.55,36.13,32.62,37.70,34.38,36.72,33.01,37.50,35.55,38.09,39.65,34.38,40.43,36.33,35.35,38.48,41.02,39.45,36.13,35.74,35.55,38.28,36.91,36.91,36.52,38.67,36.33,33.98,36.52,37.50,38.48,34.77,36.33,38.09,38.87,37.11,35.16,39.45,37.11,36.13,36.91,36.13,35.94,40.04,35.35,37.70,37.30,36.72,34.96,33.59,33.79,36.91,37.70,35.35,41.21,36.52,38.09,39.45,36.33,34.96,37.11,33.79,37.30,37.70,34.57,38.09,33.98,34.18,37.70,39.26,34.57,35.94,39.65,35.74,38.67,35.16,38.09,35.55,31.25,34.18,35.55,33.98,36.52,36.33,35.94,37.89,36.33,39.06,34.96,35.55,35.16,39.45,37.30,39.26,32.81,38.28,37.50,37.30,39.45,40.04,36.72,34.18,33.59,31.84,35.16,38.09,39.45,39.65,37.11,37.70,40.43,34.77,37.50,31.64,32.23,37.70
40.04,39.84,36.33,36.13,38.48,39.26,39.06,36.72,100.00,35.55,33.59,32.81,36.72,38.67,34.96,38.09,36.33,36.72,36.72,36.13,36.33,34.57,38.87,39.65,39.84,36.33,36.13,39.06,39.06,38.48,36.52,40.82,38.67,37.50,40.62,39.06,36.13,37.89,38.48,34.38,37.50,39.26,39.65,33.20,40.04,43.16,37.50,35.74,38.67,42.77,36.52,34.96,39.65,36.52,36.13,41.02,40.04,36.72,37.89,36.13,33.79,35.94,37.30,38.67,35.16,38.87,41.99,38.28,38.87,39.84,39.65,36.91,34.77,36.52,33.98,38.28,36.52,40.23,37.89,35.74,37.11,36.33,36.33,40.62,40.43,38.67,38.87,38.28,35.55,36.52,34.77,37.30,36.72,34.96,35.94,39.45,38.67,39.84,38.48,37.11,36.52,37.11,37.50,35.74,37.70,39.06,39.84,36.91,35.35,36.33,40.82,40.23,39.65,37.11,36.13,34.18,36.33,39.26,39.06,38.87,37.50,39.06,41.02,33.98,35.94,34.77,36.13,39.06
39.84,37.50,36.33,38.87,40.23,39.26,38.48,35.35,35.55,100.00,33.98,36.33,38.28,37.89,36.91,39.26,35.35,35.94,36.91,37.11,36.91,36.13,39.26,38.87,37.70,35.55,37.70,38.09,34.18,34.57,39.06,38.48,36.13,43.95,36.91,37.30,34.57,38.28,38.09,37.30,37.70,33.98,40.82,36.52,39.65,34.96,37.70,34.38,35.74,36.33,35.55,35.35,39.65,41.41,39.65,37.30,38.48,38.48,37.50,33.98,35.55,41.02,35.35,38.09,35.55,36.91,39.84,34.57,41.02,40.04,37.70,33.79,36.91,33.40,40.04,36.72,33.40,41.02,33.01,35.35,35.16,35.74,33.79,35.94,41.60,35.35,35.74,34.96,38.28,38.67,34.77,36.13,28.71,36.72,39.26,34.57,38.48,37.11,38.67,37.89,39.84,36.91,33.40,37.11,38.48,38.87,36.52,38.28,36.72,33.98,36.52,40.62,39.45,39.65,33.40,36.13,36.72,35.74,39.26,36.72,38.48,36.72,39.45,38.67,38.87,32.03,37.30,34.77
