Baseline/SAMEA103957794.sketch,LPHC/SAMN06172490.sketch,HPLC/SAMN06172468.sketch,HPLC/SAMN06172486.sketch,LPHC/SAMN06172425.sketch,Baseline/SAMN06172444.sketch,HPLC/SAMN06172466.sketch,LPHC/SAMN06172401.sketch,Baseline/SAMN06172509.sketch,HPLC/SAMN06172476.sketch,HPLC/SAMN06172514.sketch,LPHC/SAMN06172417.sketch,Baseline/SAMN06172463.sketch,HPLC/SAMN06172510.sketch,LPHC/SAMN06172433.sketch,LPHC/SAMN06172488.sketch,Baseline/SAMN06172495.sketch,Baseline/SAMN06172402.sketch,Baseline/SAMN06172471.sketch,Baseline/SAMN06172507.sketch,LPHC/SAMN06172415.sketch,Baseline/SAMN06172481.sketch,Baseline/SAMN06172493.sketch,LPHC/SAMN06172500.sketch,Baseline/SAMN06172517.sketch,HPLC/SAMN06172405.sketch,HPLC/SAMN06172421.sketch,HPLC/SAMN06172443.sketch,LPHC/SAMN06172427.sketch,LPHC/SAMN06172506.sketch,Baseline/SAMN06172455.sketch,Baseline/SAMN06172513.sketch,Baseline/SAMN06172501.sketch,HPLC/SAMN06172482.sketch,HPLC/SAMN06172498.sketch,LPHC/SAMN06172524.sketch,HPLC/SAMN06172431.sketch,LPHC/SAMN06172411.sketch,LPHC/SAMN06172464.sketch,LPHC/SAMN06172472.sketch,Baseline/SAMN06172465.sketch,Baseline/SAMN06172521.sketch,Baseline/SAMN06172469.sketch,Baseline/SAMN06172473.sketch,Baseline/SAMN06172485.sketch,Baseline/SAMN06172503.sketch,HPLC/SAMN06172492.sketch,LPHC/SAMN06172520.sketch,Baseline/SAMN06172414.sketch,Baseline/SAMN06172432.sketch,HPLC/SAMN06172409.sketch,HPLC/SAMN06172470.sketch,LPHC/SAMN06172460.sketch,Baseline/SAMN06172442.sketch,Baseline/SAMN06172489.sketch,Baseline/SAMN06172487.sketch,Baseline/SAMN06172479.sketch,HPLC/SAMN06172484.sketch,LPHC/SAMN06172447.sketch,Baseline/SAMN06172420.sketch,Baseline/SAMN06172461.sketch,Baseline/SAMN06172499.sketch,HPLC/SAMN06172480.sketch,LPHC/SAMN06172494.sketch,Baseline/SAMN06172448.sketch,Baseline/SAMN06172475.sketch,Baseline/SAMN06172428.sketch,Baseline/SAMN06172430.sketch,Baseline/SAMN06172450.sketch,Baseline/SAMN06172459.sketch,Baseline/SAMN06172477.sketch,Baseline/SAMEA103957795.sketch,Baseline/SAMN06172404.sketch,LPHC/SAMN06172451.sketch,LPHC/SAMN06172478.sketch,Baseline/SAMN06172410.sketch,Baseline/SAMN06172505.sketch,Baseline/SAMN06172497.sketch,HPLC/SAMN06172516.sketch,Baseline/SAMN06172446.sketch,Baseline/SAMN06172452.sketch,LPHC/SAMN06172439.sketch,LPHC/SAMN06172456.sketch,Baseline/SAMN06172408.sketch,HPLC/SAMN06172423.sketch,LPHC/SAMN06172522.sketch,HPLC/SAMN06172441.sketch,HPLC/SAMN06172454.sketch,LPHC/SAMN06172429.sketch,LPHC/SAMN06172518.sketch,LPHC/SAMN06172445.sketch,Baseline/SAMN06172416.sketch,HPLC/SAMN06172419.sketch,HPLC/SAMN06172413.sketch,HPLC/SAMN06172449.sketch,HPLC/SAMN06172502.sketch,LPHC/SAMN06172407.sketch,LPHC/SAMN06172462.sketch,Baseline/SAMN06172422.sketch,Baseline/SAMN06172434.sketch,Baseline/SAMN06172483.sketch,Baseline/SAMN06172519.sketch,HPLC/SAMN06172496.sketch,Baseline/SAMN06172406.sketch,Baseline/SAMN06172436.sketch,Baseline/SAMN06172412.sketch,Baseline/SAMN06172467.sketch,HPLC/SAMEA103957796.sketch,HPLC/SAMN06172435.sketch,LPHC/SAMN06172453.sketch,Baseline/SAMN06172457.sketch,HPLC/SAMEA103957793.sketch,Baseline/SAMN06172418.sketch,Baseline/SAMN06172440.sketch,Baseline/SAMN06172523.sketch,HPLC/SAMN06172403.sketch,LPHC/SAMN06172474.sketch,Baseline/SAMN06172491.sketch,Baseline/SAMN06172515.sketch,HPLC/SAMN06172437.sketch,LPHC/SAMN06172508.sketch,Baseline/SAMN06172400.sketch,Baseline/SAMN06172438.sketch,Baseline/SAMN06172511.sketch,HPLC/SAMN06172458.sketch,HPLC/SAMN06172504.sketch,LPHC/SAMN06172512.sketch,Baseline/SAMN06172424.sketch,Baseline/SAMN06172426.sketch
100.00,54.49,49.80,54.88,51.37,56.84,52.34,48.83,54.30,53.52,57.81,56.45,54.69,50.39,49.80,51.76,52.93,56.25,56.64,53.71,53.32,57.03,56.25,53.91,50.39,46.88,52.15,50.39,51.56,52.54,54.10,58.01,52.54,50.20,49.80,53.52,50.39,50.98,54.30,53.52,55.66,52.34,54.30,54.49,55.27,54.88,52.73,52.73,56.84,53.71,48.83,51.76,52.54,54.88,56.64,56.64,52.73,49.41,53.52,55.47,52.54,52.54,48.44,50.78,54.30,55.66,56.45,55.27,53.71,55.08,53.52,52.93,54.10,51.56,51.95,54.49,53.32,55.08,47.66,57.42,50.78,52.54,50.98,52.15,47.07,51.95,48.63,49.41,52.93,53.91,53.71,58.79,49.80,51.37,54.69,49.02,52.93,51.37,55.08,55.47,56.64,51.76,52.93,57.62,55.27,56.05,55.27,52.73,51.37,53.71,58.40,39.26,56.25,53.32,54.69,50.00,49.02,55.27,56.25,50.78,54.88,57.03,54.30,54.30,52.34,55.47,53.12,55.47,55.08
54.49,100.00,50.59,53.32,54.30,55.08,55.08,51.37,54.69,56.45,55.86,54.69,56.64,57.42,51.56,53.71,53.71,54.49,56.05,56.64,54.30,57.42,53.12,52.93,53.52,49.80,53.52,47.07,49.22,52.93,52.93,55.86,54.88,51.56,49.41,52.54,52.54,54.69,56.05,51.95,55.08,52.93,56.25,55.86,53.32,55.08,50.59,49.80,53.71,55.66,50.00,54.30,50.98,57.03,57.42,53.52,53.91,54.10,52.54,53.91,55.47,53.32,51.95,53.32,58.98,53.52,52.73,56.45,51.56,54.10,55.47,53.71,54.69,51.95,52.93,56.84,54.69,54.69,50.98,57.42,53.71,55.47,56.45,54.30,49.61,54.10,51.17,52.15,52.15,55.08,56.25,56.64,51.95,53.32,52.73,50.00,52.93,53.52,55.08,58.20,57.62,50.98,51.56,55.66,50.78,58.98,51.37,53.91,52.54,52.34,58.40,41.80,56.25,54.88,54.69,54.49,50.78,52.54,56.64,51.56,51.56,52.54,53.52,52.54,53.52,54.88,52.73,52.93,54.49
49.80,50.59,100.00,52.34,48.24,51.17,50.98,48.63,52.93,52.15,53.32,50.20,51.76,50.78,50.78,50.39,50.00,53.12,48.24,49.80,47.27,49.61,51.56,50.00,49.61,48.63,51.56,47.46,50.00,53.12,51.95,52.54,53.71,49.02,47.85,51.37,49.80,48.44,48.44,48.83,49.22,49.22,53.91,49.61,48.83,52.15,52.15,50.00,49.02,53.71,48.83,50.98,48.63,49.61,52.54,52.93,51.17,47.07,54.30,53.32,48.24,53.91,50.00,48.05,52.73,51.56,51.17,53.12,49.22,48.83,50.00,50.78,50.20,50.78,51.37,52.15,49.02,52.54,48.24,50.00,54.10,51.56,48.63,51.37,48.05,51.56,48.05,51.37,48.44,49.22,51.56,52.15,47.66,51.95,50.59,49.02,50.39,49.61,54.49,51.17,52.93,51.56,49.80,53.12,49.02,50.98,52.15,49.22,47.46,47.46,48.44,39.84,51.17,53.52,52.34,51.56,48.44,52.73,51.76,49.80,53.52,51.56,47.27,50.39,50.00,51.76,53.52,47.85,51.37
54.88,53.32,52.34,100.00,50.78,53.52,56.64,51.76,55.47,51.76,53.91,54.10,53.91,49.41,50.39,49.80,53.32,51.56,54.30,51.95,50.98,52.73,54.49,56.05,50.78,47.85,50.20,48.83,50.78,52.73,56.84,56.84,56.05,49.61,49.41,50.78,53.52,50.98,52.34,53.71,56.05,53.32,56.25,51.76,56.05,53.12,53.32,53.91,53.91,54.49,49.02,51.37,51.17,56.45,52.73,55.27,53.12,50.20,49.22,55.66,54.49,54.10,52.15,53.91,53.71,55.66,56.25,54.69,51.95,50.78,52.34,53.12,56.64,52.15,51.37,55.86,50.98,53.52,50.98,54.30,50.78,51.95,54.49,53.52,46.48,52.73,50.59,49.02,49.80,52.15,54.10,55.08,51.56,52.54,50.98,52.34,55.08,48.63,55.08,53.32,54.10,51.37,52.34,55.86,51.37,52.93,52.54,50.00,51.17,51.17,56.05,41.02,53.91,52.93,55.47,50.20,50.00,52.93,56.45,52.93,50.98,54.69,52.93,52.73,52.15,52.93,50.39,54.10,55.66
51.37,54.30,48.24,50.78,100.00,52.73,52.93,53.12,53.91,51.56,52.15,53.32,52.73,50.78,49.22,50.00,50.98,53.32,51.37,51.37,49.61,54.30,51.95,55.27,49.61,47.27,50.20,49.41,46.48,51.37,51.17,54.88,53.32,51.95,49.41,51.17,52.73,52.34,50.78,51.17,55.08,53.12,53.52,50.59,51.95,55.47,49.02,52.15,50.78,51.76,49.02,52.54,50.00,49.41,51.95,51.95,50.98,51.56,52.15,52.34,49.80,52.34,49.02,53.52,54.10,51.56,53.12,52.34,47.85,47.85,52.54,49.22,56.64,52.73,52.54,52.15,49.61,50.78,49.02,53.52,52.34,50.78,54.30,56.25,45.51,52.34,50.00,47.27,48.63,53.52,52.15,53.71,52.54,49.41,51.56,47.66,53.32,50.00,51.95,52.15,51.17,53.12,50.78,53.71,48.63,51.37,52.93,50.59,48.24,51.17,50.39,38.48,52.54,53.32,51.37,48.24,48.63,52.54,53.52,52.15,50.78,52.34,50.20,50.98,51.95,50.59,50.39,53.71,51.95
56.84,55.08,51.17,53.52,52.73,100.00,53.52,51.56,55.27,54.10,56.45,55.86,57.03,55.27,53.52,54.10,56.25,55.66,54.88,55.27,52.34,57.81,53.32,55.08,53.12,48.83,53.91,51.56,51.37,51.56,54.88,55.27,56.84,51.76,50.20,54.69,53.12,52.93,51.95,51.56,58.59,55.86,57.03,52.93,51.95,54.69,52.34,52.93,53.52,55.27,50.00,55.66,52.34,51.37,56.64,54.69,51.37,51.56,54.69,56.84,52.15,52.54,53.71,51.95,56.45,55.47,53.32,55.66,53.52,54.30,55.08,55.86,54.49,55.27,54.10,56.45,52.54,53.91,51.37,56.64,56.05,49.22,53.91,55.08,50.78,55.27,50.39,49.22,52.93,54.49,54.30,55.08,51.95,55.08,55.66,50.00,52.73,52.73,54.49,54.30,59.18,52.34,53.91,54.88,53.91,53.71,53.71,53.32,52.93,55.08,57.81,40.62,57.23,55.47,55.86,52.54,52.15,55.08,54.69,52.34,55.27,55.86,53.12,53.91,57.23,55.66,52.34,55.86,56.64
52.34,55.08,50.98,56.64,52.93,53.52,100.00,50.20,53.52,54.88,57.03,51.95,55.08,51.95,51.17,52.54,52.93,53.52,55.66,53.12,52.15,53.52,54.88,53.32,52.54,50.00,50.59,51.37,53.91,54.88,54.69,56.84,55.08,50.78,50.39,50.78,55.08,54.10,52.54,52.73,55.08,56.45,56.64,54.49,52.93,53.12,52.54,51.76,54.88,54.69,52.93,54.30,49.41,51.95,55.86,56.45,51.95,50.20,54.30,52.34,52.15,54.10,51.56,53.52,53.52,52.34,54.69,54.10,50.78,53.32,51.76,53.71,55.86,55.66,55.47,57.42,51.37,56.25,52.73,55.47,55.47,53.52,53.32,53.71,49.02,53.52,50.39,48.44,52.73,53.91,55.27,54.88,51.56,55.08,52.73,52.34,54.10,51.37,55.86,55.27,55.66,50.39,52.93,56.05,51.76,53.91,53.71,51.76,49.22,53.32,55.27,40.23,54.88,55.08,53.12,53.91,50.98,53.12,55.47,50.59,51.37,51.76,51.76,55.08,52.54,52.93,49.61,51.95,54.88
48.83,51.37,48.63,51.76,53.12,51.56,50.20,100.00,52.34,51.17,53.32,50.39,50.39,49.80,48.44,49.80,50.59,52.93,51.37,52.54,49.41,52.34,50.98,51.95,47.85,47.27,47.27,48.63,49.22,49.41,51.37,54.69,49.80,48.63,49.41,50.20,48.05,52.54,49.41,52.73,52.54,53.71,50.98,52.93,48.63,53.12,49.80,48.63,49.61,51.76,48.24,51.56,49.02,53.12,49.41,50.20,49.22,49.41,50.00,50.59,49.61,51.76,46.88,50.20,54.10,51.37,48.83,49.41,51.17,49.80,50.98,50.78,51.95,51.37,49.41,51.37,52.54,51.76,47.85,51.56,48.05,48.05,50.78,50.59,44.53,54.88,47.46,46.48,51.76,52.93,49.80,48.83,47.46,51.37,48.83,50.78,55.66,49.80,51.95,49.22,52.73,53.12,49.41,52.73,51.56,50.20,51.37,47.66,48.63,51.56,52.93,40.62,52.93,52.73,51.95,50.78,50.78,53.12,51.56,51.56,51.56,53.52,51.56,52.54,50.00,51.17,46.68,51.76,51.95
54.30,54.69,52.93,55.47,53.91,55.27,53.52,52.34,100.00,52.93,55.27,53.52,55.86,53.91,52.73,53.71,52.93,52.15,54.30,54.30,52.93,55.66,55.08,52.54,54.10,50.20,50.98,51.37,53.52,55.86,56.45,55.27,56.05,48.44,50.78,53.52,53.12,55.08,53.32,50.78,54.88,53.52,58.20,56.64,54.10,56.45,51.37,52.73,54.30,55.08,50.98,53.71,50.78,52.54,56.64,55.66,51.37,52.34,53.52,55.47,52.34,57.23,51.95,52.15,57.23,55.47,55.47,52.73,51.37,54.69,57.03,53.71,55.86,52.34,52.54,55.86,52.73,53.52,49.61,56.25,52.73,51.76,52.93,53.91,50.59,53.52,51.37,50.59,51.95,53.12,50.98,56.45,50.39,53.32,53.52,52.73,55.47,50.78,56.05,56.05,58.20,51.76,54.69,57.81,52.73,55.47,51.95,53.12,51.76,53.12,54.88,40.23,56.45,55.86,57.03,50.78,49.80,52.93,52.73,53.91,54.49,56.64,51.95,53.91,54.69,53.71,52.54,55.08,54.49
53.52,56.45,52.15,51.76,51.56,54.10,54.88,51.17,52.93,100.00,52.93,52.73,54.88,49.80,48.05,52.73,50.98,56.45,54.30,52.93,52.73,53.71,54.10,52.93,50.98,49.80,52.73,48.63,52.93,52.15,53.52,56.45,51.76,51.76,48.24,52.73,51.37,53.12,52.34,53.52,55.27,54.30,54.30,53.71,52.73,53.12,51.56,53.52,53.32,54.49,49.80,52.93,49.41,56.05,50.39,55.66,51.95,50.98,51.56,51.76,49.61,53.91,49.61,52.34,55.66,54.88,52.54,53.52,49.80,53.71,54.30,53.91,53.71,51.37,51.56,53.91,50.20,52.73,48.44,54.10,54.10,50.00,51.76,52.34,45.90,54.69,49.61,47.85,52.93,51.95,51.95,55.27,49.80,49.80,50.78,48.24,53.52,51.95,55.66,54.10,55.27,52.34,51.95,56.05,50.39,54.69,52.15,50.78,53.71,53.52,55.47,35.94,55.47,52.54,53.91,55.66,49.80,54.10,54.69,49.61,52.34,50.98,53.52,51.95,50.39,53.12,51.95,52.34,53.12
